patient_insurance_id,patient_id,insurance_provider_id,policy_number,policy_holder_name,relationship_with_holder,policy_start_date,policy_end_date,coverage_amount,remaining_coverage,insurance_status,cashless_eligible,pre_authorization_number,remarks,created_by,updated_by,created_date,updated_date
5322,27016,48,POL15125052,Sai Nair,Self,2020-01-01,2021-12-31,300000,61499.45,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
5323,27016,24,POL94582264,Sai Nair,Self,2021-12-31,2023-12-31,500000,215978.76,Expired,True,PA105322,Waiting Approval,System,System,2021-12-31,2021-12-31
5324,13487,29,POL70105016,Rohan Kapoor,Guardian,2020-01-01,2020-12-31,100000,47690.22,Expired,True,PA105323,Cashless Approved,System,System,2020-01-01,2020-01-01
5325,13487,27,POL95179184,Rohan Kapoor,Self,2020-12-31,2022-12-31,200000,194352.4,Expired,True,PA105324,Verified,System,System,2020-12-31,2020-12-31
5326,16553,21,POL38292487,Yash Kapoor,Self,2020-01-01,2022-12-31,100000,72886.33,Expired,True,PA105325,Verified,System,System,2020-01-01,2020-01-01
5327,16553,13,POL84396406,Yash Kapoor,Self,2022-12-31,2023-12-31,500000,317428.64,Expired,False,,Waiting Approval,System,System,2022-12-31,2022-12-31
5328,25187,10,POL96121477,Vihaan Bose,Self,2020-01-01,2020-12-31,200000,60328.09,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
5329,25187,39,POL49253150,Vihaan Bose,Self,2020-12-31,2022-12-31,100000,51288.35,Expired,True,PA105328,Waiting Approval,System,System,2020-12-31,2020-12-31
5330,8043,30,POL01547280,Riya Reddy,Self,2020-01-01,2020-12-31,500000,114305.74,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
5331,8043,49,POL33885220,Riya Reddy,Self,2020-12-31,2021-12-31,100000,80934.83,Expired,True,PA105330,Waiting Approval,System,System,2020-12-31,2020-12-31
5332,12024,15,POL62256747,Priya Iyer,Self,2020-01-01,2020-12-31,100000,33022.14,Expired,True,PA105331,Verified,System,System,2020-01-01,2020-01-01
5333,27227,31,POL29761953,Aanya Gupta,Self,2020-01-01,2022-12-31,100000,67554.86,Expired,True,PA105332,System Generated,System,System,2020-01-01,2020-01-01
5334,29281,15,POL72984720,Sneha Fernandes,Self,2020-01-01,2021-12-31,100000,75951.32,Expired,True,PA105333,System Generated,System,System,2020-01-01,2020-01-01
5335,20374,7,POL11949008,Swati Jain,Mother,2020-01-01,2020-12-31,500000,246603.65,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
5336,20374,1,POL69765560,Swati Jain,Mother,2020-12-31,2022-12-31,300000,211822.36,Expired,True,PA105335,Cashless Approved,System,System,2020-12-31,2020-12-31
5337,1064,31,POL41073366,Amit Jain,Self,2020-01-01,2020-12-31,200000,162277.26,Expired,True,PA105336,Cashless Approved,System,System,2020-01-01,2020-01-01
5338,4450,41,POL20381643,Siddharth Mishra,Self,2020-01-01,2022-12-31,200000,69459.81,Expired,True,PA105337,Verified,System,System,2020-01-01,2020-01-01
5339,21523,44,POL27671543,Manish Joshi,Father,2020-01-01,2020-12-31,500000,340344.13,Expired,True,PA105338,Waiting Approval,System,System,2020-01-01,2020-01-01
5340,1115,25,POL91706280,Sai Kulkarni,Self,2020-01-01,2021-12-31,300000,236131.95,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
5341,13711,36,POL32689832,Raj Patel,Spouse,2020-01-01,2021-12-31,500000,242819.24,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
5342,29117,50,POL42548020,Vihaan Chavan,Mother,2020-01-01,2020-12-31,300000,98997.88,Expired,True,PA105341,Cashless Approved,System,System,2020-01-01,2020-01-01
5343,16573,42,POL85832791,Aryan Menon,Self,2020-01-01,2020-12-31,200000,85778.56,Expired,True,PA105342,System Generated,System,System,2020-01-01,2020-01-01
5344,22886,14,POL97826561,Swati Jain,Self,2020-01-01,2020-12-31,1000000,946459.73,Expired,True,PA105343,Waiting Approval,System,System,2020-01-01,2020-01-01
5345,22886,10,POL30454590,Swati Jain,Mother,2020-12-31,2023-12-31,300000,145787.51,Expired,True,PA105344,Cashless Approved,System,System,2020-12-31,2020-12-31
5346,21235,18,POL47660955,Komal Thomas,Self,2020-01-01,2020-12-31,100000,28616.05,Expired,True,PA105345,Policy Renewed,System,System,2020-01-01,2020-01-01
5347,14067,14,POL30518232,Kavya Das,Self,2020-01-01,2020-12-31,300000,79854.36,Expired,True,PA105346,Verified,System,System,2020-01-01,2020-01-01
5348,3002,11,POL01033115,Krishna Gupta,Self,2020-01-01,2022-12-31,200000,68879.21,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
5349,15191,35,POL25718214,Riya Chavan,Self,2020-01-01,2022-12-31,200000,60401.97,Expired,True,PA105348,Waiting Approval,System,System,2020-01-01,2020-01-01
5350,16729,49,POL22596470,Nikhil Jain,Self,2020-01-01,2021-12-31,1000000,596034.93,Expired,True,PA105349,Policy Renewed,System,System,2020-01-01,2020-01-01
5351,6113,44,POL10997893,Karan Shetty,Self,2020-01-01,2022-12-31,500000,239020.58,Expired,True,PA105350,System Generated,System,System,2020-01-01,2020-01-01
5352,4481,47,POL73236034,Siddharth Fernandes,Guardian,2020-01-01,2020-12-31,200000,174624.9,Expired,True,PA105351,Verified,System,System,2020-01-01,2020-01-01
5353,21118,46,POL78951990,Akash Singh,Self,2020-01-01,2022-12-31,200000,180972.57,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
5354,8495,8,POL12574791,Harsh Menon,Self,2020-01-01,2020-12-31,500000,289311.76,Expired,True,PA105353,Verified,System,System,2020-01-01,2020-01-01
5355,17582,24,POL58885028,Sakshi Nair,Self,2020-01-01,2022-12-31,200000,182164.34,Expired,True,PA105354,Waiting Approval,System,System,2020-01-01,2020-01-01
5356,1663,17,POL45367633,Karan Yadav,Self,2020-01-01,2022-12-31,300000,168110.79,Expired,False,,Policy Renewed,System,System,2020-01-01,2020-01-01
5357,26930,25,POL78239517,Sakshi Sharma,Self,2020-01-01,2022-12-31,500000,356784.85,Expired,True,PA105356,Cashless Approved,System,System,2020-01-01,2020-01-01
5358,28706,9,POL55715525,Abhishek Fernandes,Guardian,2020-01-01,2020-12-31,500000,165013.93,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
5359,5456,23,POL31496289,Rohan Nair,Spouse,2020-01-01,2020-12-31,500000,121033.02,Expired,True,PA105358,Cashless Approved,System,System,2020-01-01,2020-01-01
5360,22637,42,POL61531034,Ankit Reddy,Self,2020-01-01,2022-12-31,500000,164034.07,Expired,True,PA105359,Cashless Approved,System,System,2020-01-01,2020-01-01
5361,23587,28,POL54413740,Harsh Chavan,Self,2020-01-01,2022-12-31,1000000,401476.19,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
5362,17629,20,POL25735099,Muskan Das,Self,2020-01-01,2021-12-31,200000,160157.1,Expired,True,PA105361,Waiting Approval,System,System,2020-01-01,2020-01-01
5363,26529,11,POL28900648,Aditi Khan,Self,2020-01-01,2021-12-31,500000,169402.1,Expired,True,PA105362,System Generated,System,System,2020-01-01,2020-01-01
5364,14796,44,POL93163650,Aditya Patel,Self,2020-01-01,2021-12-31,100000,30452.38,Expired,True,PA105363,Cashless Approved,System,System,2020-01-01,2020-01-01
5365,14796,12,POL90781270,Aditya Patel,Self,2021-12-31,2023-12-31,200000,188417.5,Expired,True,PA105364,Cashless Approved,System,System,2021-12-31,2021-12-31
5366,15279,40,POL04593968,Shubham Yadav,Guardian,2020-01-01,2020-12-31,100000,75104.19,Expired,True,PA105365,Policy Renewed,System,System,2020-01-01,2020-01-01
5367,21555,29,POL62482520,Simran Shetty,Self,2020-01-01,2020-12-31,500000,289322.23,Expired,True,PA105366,Verified,System,System,2020-01-01,2020-01-01
5368,10671,28,POL04317117,Preeti Joshi,Self,2020-01-01,2022-12-31,100000,27597.47,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
5369,16250,9,POL66367087,Tanvi Mishra,Spouse,2020-01-01,2022-12-31,500000,440716.36,Expired,True,PA105368,System Generated,System,System,2020-01-01,2020-01-01
5370,9643,17,POL99041071,Abhishek Reddy,Self,2020-01-01,2021-12-31,500000,143303.37,Expired,True,PA105369,System Generated,System,System,2020-01-01,2020-01-01
5371,9643,34,POL45867207,Abhishek Reddy,Self,2021-12-31,2023-12-31,100000,68883.72,Expired,True,PA105370,System Generated,System,System,2021-12-31,2021-12-31
5372,20300,41,POL30398691,Aditi Fernandes,Self,2020-01-01,2020-12-31,500000,367070.6,Expired,True,PA105371,Policy Renewed,System,System,2020-01-01,2020-01-01
5373,21245,13,POL97556966,Anjali Chavan,Self,2020-01-01,2022-12-31,500000,260055.52,Expired,True,PA105372,System Generated,System,System,2020-01-01,2020-01-01
5374,20345,12,POL46314595,Krishna Pandey,Spouse,2020-01-01,2020-12-31,500000,464486.69,Expired,True,PA105373,Waiting Approval,System,System,2020-01-01,2020-01-01
5375,22270,13,POL95927342,Nandini Fernandes,Self,2020-01-01,2021-12-31,100000,24056.05,Expired,True,PA105374,Waiting Approval,System,System,2020-01-01,2020-01-01
5376,24967,14,POL48266225,Vihaan Shetty,Spouse,2020-01-01,2022-12-31,500000,427246.76,Expired,True,PA105375,Policy Renewed,System,System,2020-01-01,2020-01-01
5377,3198,5,POL52374472,Neha Singh,Self,2020-01-01,2022-12-31,500000,321517.76,Expired,True,PA105376,Waiting Approval,System,System,2020-01-01,2020-01-01
5378,5549,42,POL87208811,Riya Jain,Self,2020-01-01,2021-12-31,200000,137792.6,Expired,False,,Policy Renewed,System,System,2020-01-01,2020-01-01
5379,13107,12,POL76729043,Ananya Jain,Spouse,2020-01-01,2020-12-31,200000,197892.09,Expired,False,,Policy Renewed,System,System,2020-01-01,2020-01-01
5380,19802,2,POL94577624,Amit Pillai,Self,2020-01-01,2020-12-31,300000,199835.47,Expired,True,PA105379,Policy Renewed,System,System,2020-01-01,2020-01-01
5381,9842,14,POL38803741,Ritvik Bose,Self,2020-01-01,2022-12-31,500000,418811.19,Expired,True,PA105380,Waiting Approval,System,System,2020-01-01,2020-01-01
5382,20987,42,POL11035664,Khushi Singh,Self,2020-01-01,2020-12-31,200000,64564.92,Expired,True,PA105381,Cashless Approved,System,System,2020-01-01,2020-01-01
5383,5972,7,POL59117907,Aditya Verma,Self,2020-01-01,2021-12-31,100000,84743.17,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
5384,5972,7,POL71571570,Aditya Verma,Self,2021-12-31,2023-12-31,500000,404429.16,Expired,True,PA105383,Policy Renewed,System,System,2021-12-31,2021-12-31
5385,8137,9,POL22944799,Ankit Kapoor,Self,2020-01-01,2021-12-31,100000,97448.81,Expired,True,PA105384,Verified,System,System,2020-01-01,2020-01-01
5386,11904,5,POL03893419,Priya Iyer,Self,2020-01-01,2020-12-31,1000000,948568.51,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
5387,1372,34,POL54718515,Sai Patel,Self,2020-01-01,2021-12-31,200000,74237.85,Expired,True,PA105386,Verified,System,System,2020-01-01,2020-01-01
5388,23862,11,POL47442835,Rohan Singh,Mother,2020-01-01,2020-12-31,300000,171583.95,Expired,True,PA105387,Waiting Approval,System,System,2020-01-01,2020-01-01
5389,17257,32,POL71020814,Shruti Chavan,Self,2020-01-01,2020-12-31,100000,92918.65,Expired,True,PA105388,Policy Renewed,System,System,2020-01-01,2020-01-01
5390,17257,41,POL16902396,Shruti Chavan,Father,2020-12-31,2023-12-31,1000000,712612.06,Expired,False,,Waiting Approval,System,System,2020-12-31,2020-12-31
5391,1107,23,POL96864038,Rohan Sharma,Self,2020-01-01,2021-12-31,500000,285480.16,Expired,True,PA105390,System Generated,System,System,2020-01-01,2020-01-01
5392,18883,31,POL55167729,Varun Kulkarni,Self,2020-01-01,2021-12-31,1000000,287151.01,Expired,True,PA105391,System Generated,System,System,2020-01-01,2020-01-01
5393,4027,16,POL64776826,Siddharth Iyer,Father,2020-01-01,2021-12-31,500000,240703.03,Expired,True,PA105392,Policy Renewed,System,System,2020-01-01,2020-01-01
5394,4027,47,POL92925939,Siddharth Iyer,Self,2021-12-31,2022-12-31,200000,146438.39,Expired,True,PA105393,Cashless Approved,System,System,2021-12-31,2021-12-31
5395,9569,48,POL92163382,Aarav Reddy,Self,2020-01-01,2021-12-31,200000,164306.32,Expired,True,PA105394,Verified,System,System,2020-01-01,2020-01-01
5396,16919,18,POL40160630,Siddharth Yadav,Self,2020-01-01,2020-12-31,300000,167320.06,Expired,True,PA105395,Waiting Approval,System,System,2020-01-01,2020-01-01
5397,16919,31,POL67526946,Siddharth Yadav,Self,2020-12-31,2022-12-31,300000,73402.68,Expired,True,PA105396,Policy Renewed,System,System,2020-12-31,2020-12-31
5398,721,38,POL83500737,Sai Sharma,Self,2020-01-01,2020-12-31,1000000,706537.75,Expired,True,PA105397,Verified,System,System,2020-01-01,2020-01-01
5399,28755,17,POL94682607,Raj Pillai,Self,2020-01-01,2020-12-31,200000,187453.82,Expired,True,PA105398,Waiting Approval,System,System,2020-01-01,2020-01-01
5400,28755,37,POL23956114,Raj Pillai,Father,2020-12-31,2021-12-31,500000,298564.3,Expired,False,,Waiting Approval,System,System,2020-12-31,2020-12-31
5401,13165,25,POL40065341,Rohan Kapoor,Self,2020-01-01,2020-12-31,1000000,942739.76,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
5402,5533,31,POL16337695,Akash Patel,Mother,2020-01-01,2020-12-31,100000,48328.06,Expired,True,PA105401,Verified,System,System,2020-01-01,2020-01-01
5403,5533,33,POL50378783,Akash Patel,Mother,2020-12-31,2022-12-31,500000,454546.31,Expired,False,,Waiting Approval,System,System,2020-12-31,2020-12-31
5404,7931,50,POL48140677,Rahul Yadav,Self,2020-01-01,2022-12-31,300000,248721.54,Expired,True,PA105403,Cashless Approved,System,System,2020-01-01,2020-01-01
5405,20839,39,POL17676935,Khushi Jain,Self,2020-01-01,2021-12-31,500000,484696.62,Expired,True,PA105404,System Generated,System,System,2020-01-01,2020-01-01
5406,15863,16,POL44905520,Sakshi Nair,Father,2020-01-01,2020-12-31,200000,166563.4,Expired,True,PA105405,Cashless Approved,System,System,2020-01-01,2020-01-01
5407,5384,17,POL58210955,Ananya Nair,Mother,2020-01-01,2020-12-31,200000,91436.76,Expired,True,PA105406,Verified,System,System,2020-01-01,2020-01-01
5408,5384,13,POL66741020,Ananya Nair,Self,2020-12-31,2023-12-31,100000,92045.4,Expired,False,,Cashless Approved,System,System,2020-12-31,2020-12-31
5409,26890,27,POL05705515,Sneha Yadav,Self,2020-01-01,2021-12-31,1000000,735784.86,Expired,True,PA105408,System Generated,System,System,2020-01-01,2020-01-01
5410,1087,49,POL91494588,Aryan Mishra,Self,2020-01-01,2020-12-31,500000,164827.73,Expired,True,PA105409,System Generated,System,System,2020-01-01,2020-01-01
5411,25931,35,POL45522488,Amit Mishra,Self,2020-01-01,2020-12-31,100000,23677.21,Expired,True,PA105410,Verified,System,System,2020-01-01,2020-01-01
5412,8820,10,POL37098346,Ritvik Jain,Self,2020-01-01,2021-12-31,1000000,492676.48,Expired,True,PA105411,Policy Renewed,System,System,2020-01-01,2020-01-01
5413,20291,50,POL40520092,Aryan Jain,Self,2020-01-01,2022-12-31,300000,248847.4,Expired,True,PA105412,Cashless Approved,System,System,2020-01-01,2020-01-01
5414,27479,23,POL71258462,Sneha Thomas,Self,2020-01-01,2021-12-31,500000,347285.84,Expired,True,PA105413,Verified,System,System,2020-01-01,2020-01-01
5415,29462,25,POL29980732,Ananya Bose,Self,2020-01-01,2021-12-31,100000,62170.17,Expired,True,PA105414,Waiting Approval,System,System,2020-01-01,2020-01-01
5416,23081,33,POL12388140,Abhishek Nair,Self,2020-01-01,2022-12-31,200000,40596.42,Expired,True,PA105415,Cashless Approved,System,System,2020-01-01,2020-01-01
5417,26250,4,POL53623143,Amit Fernandes,Self,2020-01-01,2021-12-31,500000,274200.28,Expired,True,PA105416,System Generated,System,System,2020-01-01,2020-01-01
5418,29088,26,POL23900937,Rahul Nair,Self,2020-01-01,2021-12-31,100000,32617.87,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
5419,12712,12,POL03464939,Aditi Gupta,Self,2020-01-01,2022-12-31,300000,169096.18,Expired,True,PA105418,Verified,System,System,2020-01-01,2020-01-01
5420,12712,5,POL90251276,Aditi Gupta,Self,2022-12-31,2023-12-31,300000,298024.88,Expired,False,,Policy Renewed,System,System,2022-12-31,2022-12-31
5421,17980,41,POL19935624,Nandini Kulkarni,Self,2020-01-01,2020-12-31,200000,180726.21,Expired,True,PA105420,Policy Renewed,System,System,2020-01-01,2020-01-01
5422,17980,10,POL17103097,Nandini Kulkarni,Self,2020-12-31,2023-12-31,200000,89700.9,Expired,True,PA105421,Waiting Approval,System,System,2020-12-31,2020-12-31
5423,16600,6,POL27503191,Shruti Singh,Guardian,2020-01-01,2021-12-31,1000000,674805.91,Expired,True,PA105422,Verified,System,System,2020-01-01,2020-01-01
5424,16600,9,POL56401641,Shruti Singh,Self,2021-12-31,2022-12-31,200000,120335.24,Expired,False,,Cashless Approved,System,System,2021-12-31,2021-12-31
5425,19692,5,POL35321586,Ritvik Nair,Self,2020-01-01,2021-12-31,200000,60807.52,Expired,True,PA105424,System Generated,System,System,2020-01-01,2020-01-01
5426,7753,15,POL93010575,Sneha Nair,Self,2020-01-01,2022-12-31,300000,297553.56,Expired,True,PA105425,Cashless Approved,System,System,2020-01-01,2020-01-01
5427,17466,44,POL60712464,Varun Bose,Guardian,2020-01-01,2021-12-31,500000,270070.06,Expired,True,PA105426,Cashless Approved,System,System,2020-01-01,2020-01-01
5428,17466,30,POL19133736,Varun Bose,Self,2021-12-31,2024-12-30,500000,302263.61,Expired,True,PA105427,System Generated,System,System,2021-12-31,2021-12-31
5429,12913,20,POL38749552,Ritvik Patel,Self,2020-01-01,2020-12-31,500000,359039.72,Expired,True,PA105428,Waiting Approval,System,System,2020-01-01,2020-01-01
5430,8715,35,POL30499347,Muskan Iyer,Self,2020-01-01,2022-12-31,100000,35323.56,Expired,True,PA105429,Policy Renewed,System,System,2020-01-01,2020-01-01
5431,17444,7,POL04876977,Muskan Thomas,Self,2020-01-01,2022-12-31,200000,75556.26,Expired,True,PA105430,Policy Renewed,System,System,2020-01-01,2020-01-01
5432,2146,9,POL17470367,Anjali Shetty,Self,2020-01-01,2020-12-31,500000,177023.37,Expired,True,PA105431,Cashless Approved,System,System,2020-01-01,2020-01-01
5433,16658,39,POL76510284,Jordan Fernandes,Self,2020-01-01,2021-12-31,1000000,507572.43,Expired,True,PA105432,Verified,System,System,2020-01-01,2020-01-01
5434,26300,45,POL80858672,Akash Kulkarni,Self,2020-01-01,2022-12-31,300000,107922.47,Expired,True,PA105433,Policy Renewed,System,System,2020-01-01,2020-01-01
5435,25591,21,POL92631189,Aryan Bose,Self,2020-01-01,2021-12-31,100000,94111.68,Expired,False,,Waiting Approval,System,System,2020-01-01,2020-01-01
5436,20488,33,POL43811967,Nandini Fernandes,Self,2020-01-01,2022-12-31,200000,154290.25,Expired,True,PA105435,Waiting Approval,System,System,2020-01-01,2020-01-01
5437,20488,31,POL41061104,Nandini Fernandes,Self,2022-12-31,2023-12-31,100000,91826.85,Expired,True,PA105436,System Generated,System,System,2022-12-31,2022-12-31
5438,25106,46,POL19688416,Nikhil Shetty,Spouse,2020-01-01,2020-12-31,500000,439393.65,Expired,True,PA105437,Verified,System,System,2020-01-01,2020-01-01
5439,20452,44,POL79791383,Aditi Chavan,Self,2020-01-01,2020-12-31,100000,76252.16,Expired,True,PA105438,Policy Renewed,System,System,2020-01-01,2020-01-01
5440,20452,6,POL40265942,Aditi Chavan,Spouse,2020-12-31,2021-12-31,200000,78839.39,Expired,True,PA105439,Verified,System,System,2020-12-31,2020-12-31
5441,11833,33,POL02555777,Anjali Das,Self,2020-01-01,2022-12-31,300000,207676.53,Expired,True,PA105440,Policy Renewed,System,System,2020-01-01,2020-01-01
5442,11833,30,POL82465271,Anjali Das,Self,2022-12-31,2024-12-30,300000,104711.73,Expired,True,PA105441,System Generated,System,System,2022-12-31,2022-12-31
5443,1312,13,POL38672672,Raj Singh,Self,2020-01-01,2020-12-31,300000,91794.25,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
5444,28087,18,POL48394447,Ritvik Reddy,Mother,2020-01-01,2022-12-31,300000,211818.06,Expired,True,PA105443,Verified,System,System,2020-01-01,2020-01-01
5445,28087,42,POL14858284,Ritvik Reddy,Self,2022-12-31,2024-12-30,500000,349850.24,Expired,True,PA105444,Policy Renewed,System,System,2022-12-31,2022-12-31
5446,5602,1,POL90056657,Riya Gupta,Self,2020-01-01,2022-12-31,200000,65059.54,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
5447,3609,31,POL23429659,Meera Iyer,Self,2020-01-01,2022-12-31,300000,144582.65,Expired,True,PA105446,Policy Renewed,System,System,2020-01-01,2020-01-01
5448,28086,26,POL96703388,Kavya Fernandes,Self,2020-01-01,2022-12-31,200000,50604.99,Expired,True,PA105447,Verified,System,System,2020-01-01,2020-01-01
5449,21785,20,POL50005537,Radhika Reddy,Self,2020-01-01,2021-12-31,200000,154517.3,Expired,True,PA105448,System Generated,System,System,2020-01-01,2020-01-01
5450,13877,34,POL87109828,Aryan Iyer,Self,2020-01-01,2021-12-31,300000,296998.96,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
5451,4376,38,POL19324302,Shubham Bose,Self,2020-01-01,2022-12-31,300000,237577.48,Expired,True,PA105450,Cashless Approved,System,System,2020-01-01,2020-01-01
5452,4376,32,POL65051627,Shubham Bose,Self,2022-12-31,2023-12-31,500000,437660.87,Expired,True,PA105451,Cashless Approved,System,System,2022-12-31,2022-12-31
5453,4129,26,POL47139984,Karan Patel,Self,2020-01-01,2021-12-31,300000,174322.38,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
5454,9599,3,POL47877533,Abhishek Patel,Self,2020-01-01,2020-12-31,500000,138233.63,Expired,True,PA105453,Cashless Approved,System,System,2020-01-01,2020-01-01
5455,2640,46,POL29882272,Arjun Gupta,Self,2020-01-01,2021-12-31,300000,234385.57,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
5456,4037,38,POL97672359,Simran Patel,Self,2020-01-01,2021-12-31,300000,121564.85,Expired,True,PA105455,Verified,System,System,2020-01-01,2020-01-01
5457,20583,46,POL68004873,Khushi Pillai,Self,2020-01-01,2020-12-31,500000,255317.58,Expired,True,PA105456,Cashless Approved,System,System,2020-01-01,2020-01-01
5458,24005,27,POL79885127,Khushi Verma,Self,2020-01-01,2021-12-31,200000,152495.88,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
5459,23070,36,POL31022764,Anjali Gupta,Guardian,2020-01-01,2022-12-31,200000,184765.52,Expired,True,PA105458,Cashless Approved,System,System,2020-01-01,2020-01-01
5460,18129,4,POL09450630,Harsh Singh,Mother,2020-01-01,2022-12-31,500000,294499.62,Expired,True,PA105459,System Generated,System,System,2020-01-01,2020-01-01
5461,5467,26,POL21075358,Aditi Mishra,Spouse,2020-01-01,2021-12-31,100000,96928.45,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
5462,3036,12,POL09259315,Shruti Kulkarni,Self,2020-01-01,2022-12-31,300000,184776.85,Expired,True,PA105461,System Generated,System,System,2020-01-01,2020-01-01
5463,3036,33,POL96164434,Shruti Kulkarni,Self,2022-12-31,2023-12-31,300000,89402.51,Expired,True,PA105462,Waiting Approval,System,System,2022-12-31,2022-12-31
5464,602,6,POL56308991,Nandini Patel,Self,2020-01-01,2022-12-31,1000000,614747.0,Expired,True,PA105463,Policy Renewed,System,System,2020-01-01,2020-01-01
5465,602,28,POL75941753,Nandini Patel,Self,2022-12-31,2023-12-31,500000,444251.08,Expired,True,PA105464,System Generated,System,System,2022-12-31,2022-12-31
5466,23130,20,POL97554329,Rahul Kulkarni,Self,2020-01-01,2022-12-31,200000,126087.22,Expired,True,PA105465,Waiting Approval,System,System,2020-01-01,2020-01-01
5467,23130,28,POL54611395,Rahul Kulkarni,Spouse,2022-12-31,2024-12-30,300000,239461.28,Expired,False,,Cashless Approved,System,System,2022-12-31,2022-12-31
5468,25464,27,POL79077913,Sai Khan,Spouse,2020-01-01,2021-12-31,100000,63836.61,Expired,True,PA105467,Policy Renewed,System,System,2020-01-01,2020-01-01
5469,8125,18,POL66781735,Shubham Yadav,Spouse,2020-01-01,2022-12-31,200000,127368.73,Expired,True,PA105468,System Generated,System,System,2020-01-01,2020-01-01
5470,25625,5,POL84982212,Vihaan Pillai,Self,2020-01-01,2020-12-31,500000,213904.36,Expired,False,,System Generated,System,System,2020-01-01,2020-01-01
5471,7515,45,POL96746505,Kavya Iyer,Self,2020-01-01,2021-12-31,100000,36100.84,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
5472,11956,18,POL00487207,Aanya Shetty,Self,2020-01-01,2021-12-31,200000,84627.01,Expired,True,PA105471,System Generated,System,System,2020-01-01,2020-01-01
5473,29990,46,POL32951679,Raj Kulkarni,Self,2020-01-01,2022-12-31,1000000,552670.31,Expired,True,PA105472,Policy Renewed,System,System,2020-01-01,2020-01-01
5474,5663,23,POL44611216,Ishita Iyer,Self,2020-01-01,2020-12-31,500000,423836.04,Expired,False,,Cashless Approved,System,System,2020-01-01,2020-01-01
5475,21427,28,POL83191907,Harsh Menon,Self,2020-01-01,2021-12-31,500000,431596.44,Expired,True,PA105474,Verified,System,System,2020-01-01,2020-01-01
5476,6664,12,POL03788688,Vivaan Pandey,Self,2020-01-01,2021-12-31,500000,165351.13,Expired,True,PA105475,Policy Renewed,System,System,2020-01-01,2020-01-01
5477,410,9,POL50369940,Ritvik Patel,Self,2020-01-01,2021-12-31,500000,321141.97,Expired,True,PA105476,System Generated,System,System,2020-01-01,2020-01-01
5478,6848,5,POL22664608,Aryan Jain,Self,2020-01-01,2022-12-31,100000,53282.22,Expired,True,PA105477,Policy Renewed,System,System,2020-01-01,2020-01-01
5479,6353,1,POL98775320,Amit Jain,Spouse,2020-01-01,2022-12-31,300000,197024.57,Expired,True,PA105478,Policy Renewed,System,System,2020-01-01,2020-01-01
5480,16915,37,POL27239802,Shruti Singh,Self,2020-01-01,2022-12-31,300000,215429.61,Expired,True,PA105479,Cashless Approved,System,System,2020-01-01,2020-01-01
5481,3351,47,POL37731748,Kavya Kapoor,Spouse,2020-01-01,2022-12-31,200000,84737.92,Expired,True,PA105480,System Generated,System,System,2020-01-01,2020-01-01
5482,3351,47,POL25987326,Kavya Kapoor,Self,2022-12-31,2024-12-30,500000,467696.95,Expired,True,PA105481,Waiting Approval,System,System,2022-12-31,2022-12-31
5483,13525,11,POL47212167,Sai Jain,Self,2020-01-01,2022-12-31,300000,284507.56,Expired,True,PA105482,Verified,System,System,2020-01-01,2020-01-01
5484,4153,38,POL39755565,Nikhil Das,Self,2020-01-01,2021-12-31,100000,28428.62,Expired,True,PA105483,Cashless Approved,System,System,2020-01-01,2020-01-01
5485,4153,10,POL05511950,Nikhil Das,Self,2021-12-31,2024-12-30,200000,152482.96,Expired,False,,Verified,System,System,2021-12-31,2021-12-31
5486,24019,50,POL79584021,Aditi Reddy,Guardian,2020-01-01,2020-12-31,200000,45317.13,Expired,True,PA105485,System Generated,System,System,2020-01-01,2020-01-01
5487,24448,26,POL88426329,Neha Sharma,Self,2020-01-01,2020-12-31,500000,118625.52,Expired,False,,Verified,System,System,2020-01-01,2020-01-01
5488,23262,16,POL01147201,Swati Kulkarni,Self,2020-01-01,2021-12-31,500000,483119.97,Expired,True,PA105487,Policy Renewed,System,System,2020-01-01,2020-01-01
